category,held_out_type,n_test_defect,baseline1_defP,baseline1_defR,baseline1_defF1,baseline1_auroc,baseline2_defP,baseline2_defR,baseline2_defF1,baseline2_auroc,ours_defP,ours_defR,ours_defF1,ours_auroc,d_ours_b2,d_ours_b1,fid,small_n
bottle,broken_large,20,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.04761904761904767,159.91681538004198,False
bottle,broken_small,22,1.0,0.9090909090909091,0.9523809523809523,0.990909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.04761904761904767,161.43044592199053,False
bottle,contamination,21,1.0,0.38095238095238093,0.5517241379310345,0.9952380952380953,1.0,0.38095238095238093,0.5517241379310345,0.9809523809523809,1.0,0.38095238095238093,0.5517241379310345,0.9476190476190477,0.0,0.0,144.2479826472226,False
hazelnut,crack,18,1.0,0.9444444444444444,0.9714285714285714,1.0,1.0,0.7777777777777778,0.875,1.0,1.0,0.7777777777777778,0.875,1.0,0.0,-0.09642857142857142,111.42743427530499,False
hazelnut,cut,17,1.0,0.5294117647058824,0.6923076923076923,0.9941176470588234,1.0,0.8823529411764706,0.9375,1.0,1.0,1.0,1.0,1.0,0.0625,0.3076923076923077,119.9861477763369,False
hazelnut,hole,18,1.0,0.6111111111111112,0.7586206896551724,0.9055555555555554,1.0,0.9444444444444444,0.9714285714285714,1.0,1.0,0.7777777777777778,0.875,1.0,-0.09642857142857142,0.11637931034482762,115.12201848897733,False
hazelnut,print,17,1.0,0.23529411764705882,0.38095238095238093,0.388235294117647,1.0,0.4117647058823529,0.5833333333333334,0.9882352941176471,1.0,0.7058823529411765,0.8275862068965517,0.9647058823529412,0.24425287356321834,0.4466338259441708,123.8303951554834,False
carpet,color,19,0.5757575757575758,1.0,0.7307692307692307,0.462406015037594,0.75,0.47368421052631576,0.5806451612903226,0.6165413533834587,0.6363636363636364,0.7368421052631579,0.6829268292682927,0.6015037593984962,0.10228166797797011,-0.04784240150093799,115.54223532290223,False
carpet,cut,17,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882354,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.676470588235294,0.8947368421052632,1.0,0.9444444444444444,0.8613445378151261,0.2222222222222222,0.06209150326797386,134.79920754736358,False
carpet,hole,17,0.8,0.9411764705882353,0.8648648648648649,0.953781512605042,0.7857142857142857,0.6470588235294118,0.7096774193548387,0.8109243697478992,0.8,0.7058823529411765,0.75,0.907563025210084,0.040322580645161255,-0.11486486486486491,145.50693094600996,False
carpet,metal_contamination,17,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.6512605042016806,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.676470588235294,0.8,0.9411764705882353,0.8648648648648649,0.9705882352941176,0.31314072693383044,0.2842197035745423,135.29121120446442,False
carpet,thread,19,0.4090909090909091,0.47368421052631576,0.43902439024390244,0.21052631578947367,0.21428571428571427,0.15789473684210525,0.18181818181818182,0.14661654135338345,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.5977443609022556,0.27972027972027974,0.022514071294559124,140.56822732853132,False
metal_nut,bent,25,1.0,0.56,0.717948717948718,0.9454545454545454,1.0,0.24,0.3870967741935484,0.9054545454545454,1.0,0.84,0.9130434782608695,0.9527272727272728,0.5259467040673211,0.19509476031215156,179.56116564765333,False
metal_nut,color,22,0.9230769230769231,0.5454545454545454,0.6857142857142857,0.8512396694214875,1.0,0.45454545454545453,0.625,0.9090909090909091,1.0,0.2727272727272727,0.42857142857142855,0.8925619834710743,-0.19642857142857145,-0.2571428571428572,170.66683482956898,False
metal_nut,flip,23,0.92,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.92,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.0,133.995241345707,False
metal_nut,scratch,23,0.9411764705882353,0.6956521739130435,0.8,0.9051383399209485,1.0,0.9130434782608695,0.9545454545454546,0.992094861660079,0.95,0.8260869565217391,0.8837209302325582,0.9683794466403162,-0.07082452431289643,0.08372093023255811,173.70830357439445,False
screw,manipulated_front,24,0.85,0.7083333333333334,0.7727272727272727,0.8353174603174603,0.9285714285714286,0.5416666666666666,0.6842105263157895,0.9226190476190476,1.0,0.25,0.4,0.9563492063492063,-0.28421052631578947,-0.3727272727272727,97.70117568383584,False
screw,scratch_head,24,0.8888888888888888,1.0,0.9411764705882353,0.9940476190476191,0.9130434782608695,0.875,0.8936170212765957,0.976190476190476,0.8518518518518519,0.9583333333333334,0.9019607843137255,0.9484126984126985,0.008343763037129803,-0.039215686274509776,94.22917210554502,False
screw,scratch_neck,25,1.0,0.92,0.9583333333333334,0.9942857142857143,0.9259259259259259,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,0.038461538461538436,0.04166666666666663,100.14157282002563,False
screw,thread_side,23,0.88,0.9565217391304348,0.9166666666666666,0.9544513457556936,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.968944099378882,1.0,0.391304347826087,0.5625,0.9440993788819875,-0.3070652173913043,-0.35416666666666663,111.82440625252914,False
screw,thread_top,23,1.0,1.0,1.0,1.0,1.0,0.8260869565217391,0.9047619047619048,0.9979296066252588,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9565217391304348,-0.035196687370600444,-0.13043478260869568,106.26365166022926,False
tile,crack,17,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9757785467128028,1.0,0.9411764705882353,0.9696969696969697,1.0,1.0,0.9411764705882353,0.9696969696969697,0.9930795847750865,0.0,0.05541125541125547,212.51804234804248,False
tile,glue_strip,18,1.0,0.7222222222222222,0.8387096774193549,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.9411764705882353,1.0,-0.05882352941176472,0.10246679316888041,230.5866405560624,False
tile,gray_stroke,16,1.0,0.1875,0.3157894736842105,0.9154411764705882,1.0,0.1875,0.3157894736842105,0.9779411764705882,1.0,0.0625,0.11764705882352941,0.9080882352941176,-0.1981424148606811,-0.1981424148606811,206.47698424073948,False
tile,oil,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,237.98033705025284,False
tile,rough,15,1.0,0.6,0.75,0.8549019607843137,1.0,0.8,0.8888888888888888,1.0,1.0,0.13333333333333333,0.23529411764705882,0.9882352941176471,-0.65359477124183,-0.5147058823529411,211.21863606790217,False
